audio_file,question,language
[to be inserted],Was für eine Auszeichnung ist ein Tournee-Preis?,de
[to be inserted],Was sind die vier großen Erfindungen des alten Chinas?,de
[to be inserted],"Wer schrieb ""Die Geschichte der Drei Reiche""?",de
[to be inserted],Ist Athen eine antike Zivilisation?,de
[to be inserted],Ist Hua Mulan eine reale Figur in der chinesischen Geschichte?,de
[to be inserted],Was ist der Gründungshintergrund des Internationalen Roten Kreuzes?,de
[to be inserted],In welchem Jahr wurde die Ming-Dynastie gegründet?,de
[to be inserted],Welcher ist der höchste Berg der Welt?,de
[to be inserted],Wessen Hauptstadt ist Paris?,de
[to be inserted],Wie viele ethnische Gruppen gibt es in China?,de
[to be inserted],Wer war der erste Präsident der Vereinigten Staaten?,de
[to be inserted],Was ist der Siedepunkt von Wasser?,de
[to be inserted],Was ist die Hauptstadt von Italien?,de
[to be inserted],Sind alle Passagiere auf der Titanic gestorben?,de
[to be inserted],"Was war der erste künstliche Satellit, der jemals ins All geschossen wurde?",de
[to be inserted],Wie viele Mitgliedstaaten hat die Europäische Union derzeit?,de
[to be inserted],Was ist die Hauptstadt von Indien?,de
[to be inserted],Wo befindet sich Shanghai geografisch?,de
[to be inserted],Welches ist das kleinste Land der Welt? Wie groß ist seine Fläche?,de
[to be inserted],Warum ist der Panama-Kanal wichtig und welche Auswirkungen hätte eine Schließung auf den weltweiten Handel?,de
[to be inserted],Welches sind die drei größten Provinzen in China?,de
[to be inserted],Welche Stadt ist die Hauptstadt des Iran?,de
[to be inserted],Welches sind die Planeten im Sonnensystem?,de
[to be inserted],Wer war der erste Kaiser des antiken Roms?,de
[to be inserted],Wann war das Gründungsdatum der Volksrepublik China?,de
[to be inserted],Wann ist die Sowjetunion kollabiert?,de
[to be inserted],Was war das genaue Datum der Landung der Alliierten in der Normandie im Zweiten Weltkrieg?,de
[to be inserted],Wie lang ist die Chinesische Mauer?,de
[to be inserted],Was waren die wichtigsten revolutionären Ereignisse in Europa im Jahr 1848?,de
[to be inserted],In welcher Dynastie wurde die Seidenstraße erstmals eröffnet?,de
[to be inserted],Wie entsteht Gicht?,de
[to be inserted],Was ist das längste Kapitel in der Bibel?,de
[to be inserted],Was ist das Haustier von SpongeBob?,de
[to be inserted],Wie viele Kaiser gab es in der Ming-Dynastie?,de
[to be inserted],Wie entstehen Schwarze Löcher?,de
[to be inserted],Was ist die Amtssprache von Frankreich?,de
[to be inserted],Was ist die Hauptreligion in Frankreich?,de
[to be inserted],Können Sie mir einige historische Hintergründe zu den Alpen geben?,de
[to be inserted],Bitte beschreiben Sie ausführlich die ökologische Umwelt der Alpen.,de
[to be inserted],Nennen Sie die fünf wichtigsten Länder in den Alpen.,de
[to be inserted],Wer ist der 39. Präsident der Vereinigten Staaten?,de
[to be inserted],Welche Zeitzone gilt in New York City?,de
[to be inserted],Wie groß ist der Zeitunterschied zwischen der Zeitzone von New York City und China?,de
[to be inserted],Gibt es in New York im Sommer eine Sommerzeit? Wie groß ist der Zeitunterschied zu China während der Sommerzeit?,de
[to be inserted],Aus welchen Teilen bestehen menschliche Zellen?,de
[to be inserted],In welcher Epoche Chinas wurde die Westliche Han-Dynastie gegründet?,de
[to be inserted],Was war der Codename für die Invasion in der Normandie?,de
[to be inserted],Wann wurde der Louvre gebaut?,de
[to be inserted],Welcher Dynastie gehörte die Kaiserin Wu Zetian in der chinesischen Geschichte an?,de
[to be inserted],Was ist das größte Organ des menschlichen Körpers?,de
[to be inserted],Was ist die durchschnittliche Entfernung zwischen der Erde und dem Mond?,de
[to be inserted],Besteht der Erdkern vollständig aus Eisen?,de
[to be inserted],Welche Religion hat derzeit die meisten Anhänger auf der Welt?,de
[to be inserted],Was ist ein Quantencomputer?,de
[to be inserted],Wie viele regierungsunmittelbare Städte gibt es in China laut Verwaltungsgliederung?,de
[to be inserted],Woher stammen Süßmandeln und Bittermandeln?,de
[to be inserted],In welcher Reihenfolge sind die Elemente im Periodensystem der chemischen Elemente angeordnet?,de
[to be inserted],In welchem Teil der Pflanze findet die Fotosynthese statt?,de
[to be inserted],Wann ereignete sich das Erdbeben von Wenchuan im Jahr 2008?,de
[to be inserted],Welcher ist der höchste Berg der Welt?,de
[to be inserted],Was ist die Hauptstadt von Singapur?,de
[to be inserted],Was ist der Unterschied zwischen Sol und Lotion?,de
[to be inserted],Wie viele Tore hat die Verbotene Stadt? Wie heißen sie? Was sind die Hauptgebäude auf der zentralen Achse der Verbotenen Stadt?,de
[to be inserted],Welche der vier großen Erfindungen war die früheste?,de
[to be inserted],Ist die Stadt Ankang die Hauptstadt der Provinz Shaanxi?,de
[to be inserted],In welcher Dynastie wurde die Kanzleischrift zur offiziellen Schriftart? Aus welcher Schriftart hat sie sich entwickelt?,de
[to be inserted],Wann ist der Todestag von Mao Zedong?,de
[to be inserted],Welches ist der längste Knochen in der menschlichen Anatomie?,de
[to be inserted],In welchem Jahr wurde die Tower Bridge gebaut?,de
[to be inserted],Was sind die Schritte des TCP-Drei-Wege-Handschlag-Verfahrens?,de
[to be inserted],"Welche Genehmigung kann ich erhalten, um den Mount Everest zu besteigen?",de
[to be inserted],Wann war das genaue Datum des Zweiten Opiumkriegs?,de
[to be inserted],Woher stammt die 12-Stunden-Zeitzählung?,de
[to be inserted],Wie viele Quadratzahlen gibt es zwischen 5 und 7?,de
[to be inserted],Was ist die Funktion der Schweißdrüsen bei Säugetieren?,de
[to be inserted],Welcher ist der höchste Berg der Welt?,de
[to be inserted],Was sind die vier antiken Hochkulturen?,de
[to be inserted],Können Sie mir etwas über die Funktion der Schilddrüse erzählen?,de
[to be inserted],Wo befindet sich die Hauptzentrale von Apple?,de
[to be inserted],Was ist der dritte Planet im Sonnensystem?,de
[to be inserted],Was ist die Bill of Rights?,de
