audio_file,question,language
[to be inserted],Milyen díj a Turing-díj?,hu
[to be inserted],Melyik az ókori Kína négy nagy találmánya?,hu
[to be inserted],"Ki írta a ""A három királyság regénye"" című művet?",hu
[to be inserted],Athén ókori civilizáció?,hu
[to be inserted],Hua Mulan valódi alakja a kínai történelemnek?,hu
[to be inserted],Mi a Nemzetközi Vöröskereszt megalakulásának háttere?,hu
[to be inserted],Melyik évben alapították a Ming-dinasztiát?,hu
[to be inserted],Melyik a világ legmagasabb hegye?,hu
[to be inserted],Melyik ország fővárosa Párizs?,hu
[to be inserted],Hány etnikai csoport él Kínában?,hu
[to be inserted],Ki volt az Amerikai Egyesült Államok első elnöke?,hu
[to be inserted],Mennyi a víz forráspontja?,hu
[to be inserted],Mi Olaszország fővárosa?,hu
[to be inserted],A Titanic minden utasa meghalt?,hu
[to be inserted],"Mi volt a legelső mesterséges műhold, amelyet az űrbe bocsátottak?",hu
[to be inserted],Hány tagállama van jelenleg az Európai Uniónak?,hu
[to be inserted],Mi India fővárosa?,hu
[to be inserted],Hol található földrajzilag Sanghaj?,hu
[to be inserted],"Melyik a világ legkisebb országa, és mekkora a területe?",hu
[to be inserted],"Miért fontos a Panama-csatorna, és milyen hatással lenne a globális kereskedelemre, ha lezárnák?",hu
[to be inserted],Melyik Kína három legnagyobb tartománya?,hu
[to be inserted],Melyik város Irán fővárosa?,hu
[to be inserted],Melyek a Naprendszer bolygói?,hu
[to be inserted],Ki volt az ókori Róma első császára?,hu
[to be inserted],Mikor volt a Kínai Népköztársaság megalakulásának dátuma?,hu
[to be inserted],Mikor bomlott fel a Szovjetunió?,hu
[to be inserted],A második világháború alatt melyik volt a szövetségesek normandiai Partraszállásának pontos dátuma?,hu
[to be inserted],Milyen hosszú a kínai nagy fal?,hu
[to be inserted],Melyek voltak a legfőbb forradalmi események Európában 1848-ban?,hu
[to be inserted],Melyik dinasztia idején nyitották meg először a Selyemutat?,hu
[to be inserted],Mi okozza a köszvényt?,hu
[to be inserted],Melyik a Biblia leghosszabb fejezete?,hu
[to be inserted],Mi Spongyabob háziállata?,hu
[to be inserted],Hány császár uralkodott a Ming-dinasztiában?,hu
[to be inserted],Hogyan keletkeznek a fekete lyukak?,hu
[to be inserted],Mi Franciaország hivatalos nyelve?,hu
[to be inserted],Mi a fő vallás Franciaországban?,hu
[to be inserted],Mondana néhány történeti hátteret az Alpokról?,hu
[to be inserted],"Kérjük, írja le részletesen az Alpok ökológiai környezetét!",hu
[to be inserted],Sorolja fel az Alpok öt fő országát!,hu
[to be inserted],Ki az Amerikai Egyesült Államok 39. elnöke?,hu
[to be inserted],Milyen időzónában van New York város?,hu
[to be inserted],Mekkora az időeltérés New York időzónája és Kína között?,hu
[to be inserted],Alkalmaznak-e nyári időszámítást New Yorkban? Mekkora az időeltérés Kínával a nyári időszámítás alatt?,hu
[to be inserted],Milyen részekből állnak az emberi sejtek?,hu
[to be inserted],Kína melyik korszakában alapították a Nyugati Han-dinasztiát?,hu
[to be inserted],Mi volt a normandiai partraszállás kódneve?,hu
[to be inserted],Mikor épült a Louvre?,hu
[to be inserted],Melyik dinasztiához tartozott Wu Zetian császárnő a kínai történelemben?,hu
[to be inserted],Melyik az emberi test legnagyobb szerve?,hu
[to be inserted],Mennyi a Föld és a Hold közötti átlagos távolság?,hu
[to be inserted],A Föld magja teljes egészében vasból áll?,hu
[to be inserted],Jelenleg melyik vallásnak van a legtöbb követője a világon?,hu
[to be inserted],Mi az a kvantumszámítógép?,hu
[to be inserted],A közigazgatási felosztás szerint hány tartományi jogú város (municípium) van Kínában?,hu
[to be inserted],Honnan származik az édes mandula és a keserű mandula?,hu
[to be inserted],Milyen sorrendben helyezkednek el az elemek a kémiai elemek periódusos rendszerében?,hu
[to be inserted],A növény melyik részében megy végbe a fotoszintézis?,hu
[to be inserted],Mikor történt a 2008-as venchuani földrengés?,hu
[to be inserted],Melyik a világ legmagasabb hegye?,hu
