audio_file,question,language
[to be inserted],What kind of award is a Turing award?,en
[to be inserted],What are the four great inventions of ancient China?,en
[to be inserted],"Who wrote ""The Romance of the Three Kingdoms""?",en
[to be inserted],Is Athens an ancient civilization?,en
[to be inserted],Is Hua Mulan a real figure in Chinese history?,en
[to be inserted],What is the founding background of the International Red Cross?,en
[to be inserted],In what year was the Ming Dynasty founded?,en
[to be inserted],What is the highest mountain in the world?,en
[to be inserted],Which country's capital is Paris?,en
[to be inserted],How many ethnic groups are there in China?,en
[to be inserted],Who was the first president of the United States?,en
[to be inserted],What is the boiling point of water?,en
[to be inserted],What is the capital of Italy?,en
[to be inserted],Did all the passengers on the Titanic die?,en
[to be inserted],What was the first artificial satellite ever launched into space?,en
[to be inserted],How many member states does the European Union currently have?,en
[to be inserted],What is the capital of India?,en
[to be inserted],What is the geographical location of Shanghai?,en
[to be inserted],Which is the smallest country in the world? What is its area?,en
[to be inserted],Why is the Panama Canal important and what impact would it have on global trade if it were closed?,en
[to be inserted],What are the three largest provinces in China?,en
[to be inserted],What city is the capital of Iran?,en
[to be inserted],What are the planets in the solar system?,en
[to be inserted],Who was the first emperor of ancient Rome?,en
[to be inserted],When was the founding date of the People's Republic of China?,en
[to be inserted],When did the Soviet Union collapse?,en
[to be inserted],"During World War II, when was the specific date of the Allied invasion of Normandy?",en
[to be inserted],How long is the Great Wall of China?,en
[to be inserted],What were the major revolutionary events in Europe in 1848?,en
[to be inserted],In which dynasty was the Silk Road first opened?,en
[to be inserted],How is gout caused?,en
[to be inserted],What is the longest chapter in the Bible?,en
[to be inserted],What is Spongebob's pet?,en
[to be inserted],How many emperors were there in the Ming Dynasty?,en
[to be inserted],How are black holes formed?,en
[to be inserted],What is the official language of France?,en
[to be inserted],What is the main religion in France?,en
[to be inserted],Please provide some historical background to the Alps.,en
[to be inserted],Please describe in detail the ecological environment of the Alps.,en
[to be inserted],List the five main countries in the Alps.,en
[to be inserted],Who is the 39th President of the United States?,en
[to be inserted],What is the time zone in New York City?,en
[to be inserted],What is the time difference between New York City's time zone and China's?,en
[to be inserted],Does New York observe daylight saving time in the summer? What is the time difference with China during daylight saving time?,en
[to be inserted],What parts do human cells consist of?,en
[to be inserted],During which period in China was the Western Han Dynasty established?,en
[to be inserted],What was the code name for the Normandy invasion?,en
