audio_file,question,language
[to be inserted],Що це за нагорода — гастрольна премія?,uk
[to be inserted],Які чотири великі винаходи Стародавнього Китаю?,uk
[to be inserted],Хто написав «Роман трьох держав»?,uk
[to be inserted],Чи є Афіни стародавньою цивілізацією?,uk
[to be inserted],Чи була Хуа Мулань реальною постаттю в історії Китаю?,uk
[to be inserted],Яка історія заснування Міжнародного Червоного Хреста?,uk
[to be inserted],У якому році було засновано династію Мін?,uk
[to be inserted],Яка найвища гора у світі?,uk
[to be inserted],Столицею якої країни є Париж?,uk
[to be inserted],Скільки етнічних груп проживає в Китаї?,uk
[to be inserted],Хто був першим президентом Сполучених Штатів?,uk
[to be inserted],Яка температура кипіння води?,uk
[to be inserted],Яка столиця Італії?,uk
[to be inserted],Чи всі пасажири загинули на «Титаніку»?,uk
[to be inserted],"Який був перший штучний супутник, запущений у космос?",uk
[to be inserted],Скільки держав-членів зараз входить до Європейського Союзу?,uk
[to be inserted],Яка столиця Індії?,uk
[to be inserted],Де географічно розташований Шанхай?,uk
[to be inserted],Яка найменша країна у світі та яка її площа?,uk
[to be inserted],Чому Панамський канал важливий і як його закриття вплинуло б на світову торгівлю?,uk
[to be inserted],Які три найбільші провінції Китаю?,uk
[to be inserted],Яке місто є столицею Ірану?,uk
[to be inserted],Які планети входять до Сонячної системи?,uk
[to be inserted],Хто був першим імператором Стародавнього Риму?,uk
[to be inserted],Коли була дата заснування Китайської Народної Республіки?,uk
[to be inserted],Коли розпався Радянський Союз?,uk
[to be inserted],Яка точна дата висадки союзників у Нормандії під час Другої світової війни?,uk
[to be inserted],Яка довжина Великої китайської стіни?,uk
[to be inserted],Які основні революційні події відбулися в Європі в 1848 році?,uk
[to be inserted],За якої династії вперше було відкрито Шовковий шлях?,uk
[to be inserted],Чим викликана подагра?,uk
[to be inserted],Яка найдовша глава в Біблії?,uk
[to be inserted],Хто є домашнім улюбленцем Спанч Боба?,uk
[to be inserted],Скільки імператорів було в династії Мін?,uk
[to be inserted],Як утворюються чорні діри?,uk
[to be inserted],Яка офіційна мова Франції?,uk
[to be inserted],Яка основна релігія у Франції?,uk
[to be inserted],Розкажіть про історичне минуле Альп.,uk
[to be inserted],"Будь ласка, детально опишіть екологічне середовище Альп.",uk
[to be inserted],"Перерахуйте п'ять основних країн, розташованих в Альпах.",uk
[to be inserted],Хто є 39-м президентом Сполучених Штатів?,uk
[to be inserted],Який часовий пояс у Нью-Йорку?,uk
[to be inserted],Яка різниця в часі між часовим поясом Нью-Йорка та Китаю?,uk
[to be inserted],Чи переходять у Нью-Йорку на літній час? Яка різниця в часі з Китаєм під час літнього часу?,uk
[to be inserted],З яких частин складаються клітини людини?,uk
[to be inserted],У який період у Китаї було засновано Західну династію Хань?,uk
[to be inserted],Яке було кодове ім'я висадки в Нормандії?,uk
[to be inserted],Коли був побудований Лувр?,uk
[to be inserted],До якої династії належала імператриця У Цзетянь в історії Китаю?,uk
[to be inserted],Який найбільший орган у тілі людини?,uk
[to be inserted],Яка середня відстань між Землею та Місяцем?,uk
[to be inserted],Чи складається ядро Землі повністю з заліза?,uk
[to be inserted],Яка релігія зараз має найбільше послідовників у світі?,uk
[to be inserted],Що таке квантовий комп'ютер?,uk
[to be inserted],"Згідно з адміністративним поділом, скільки муніципалітетів центрального підпорядкування є в Китаї?",uk
[to be inserted],Звідки походять солодкий та гіркий мигдаль?,uk
[to be inserted],У якому порядку розташовані елементи в періодичній системі хімічних елементів?,uk
[to be inserted],У якій частині рослини відбувається фотосинтез?,uk
[to be inserted],Коли стався Веньчуанський землетрус 2008 року?,uk
[to be inserted],Яка найвища гора у світі?,uk
[to be inserted],Яка столиця Сінгапуру?,uk
[to be inserted],У чому різниця між золем і лосьйоном?,uk
[to be inserted],Скільки воріт у Забороненому місті? Як вони називаються? Які основні будівлі розташовані на центральній осі Забороненого міста?,uk
[to be inserted],Який із чотирьох великих винаходів з'явився найраніше?,uk
[to be inserted],Чи є місто Анькан столицею провінції Шеньсі?,uk
[to be inserted],За якої династії офіційне письмо (лішу) стало офіційним шрифтом? Від якого шрифту воно розвинулося?,uk
[to be inserted],Коли роковини смерті Мао Цзедуна?,uk
[to be inserted],Яка найдовша кістка в анатомії людини?,uk
[to be inserted],У якому році був побудований Тауерський міст?,uk
[to be inserted],Які етапи трьохетапного узгодження TCP (three-way handshake)?,uk
[to be inserted],Який дозвіл на сходження потрібен для підйому на Еверест?,uk
[to be inserted],Яка точна дата початку Другої опіумної війни?,uk
[to be inserted],Звідки походить 12-годинний метод відліку часу?,uk
[to be inserted],Скільки точних квадратів знаходиться між 5 і 7?,uk
[to be inserted],Яка функція потових залоз у ссавців?,uk
[to be inserted],Яка найвища гора у світі?,uk
[to be inserted],Які чотири стародавні цивілізації існували в історії?,uk
[to be inserted],Чи можете ви розповісти про функцію щитоподібної залози?,uk
[to be inserted],Де розташована штаб-квартира Apple?,uk
[to be inserted],Яка третя планета від Сонця в Сонячній системі?,uk
[to be inserted],Що таке Білль про права?,uk
[to be inserted],"Чи можете ви пояснити, що таке квантова заплутаність?",uk
[to be inserted],Яка столиця Мальдівів?,uk
[to be inserted],Яка валюта використовується на Мальдівах?,uk
[to be inserted],Які основні туристичні пам'ятки на Мальдівах?,uk
[to be inserted],Що таке Монреальський протокол?,uk
[to be inserted],Який основний зміст Статуту Організації Об'єднаних Націй?,uk
[to be inserted],Коли було засновано Міжнародний Червоний Хрест?,uk
[to be inserted],Чи ввела премія Тюрінга поняття штучного інтелекту?,uk
[to be inserted],Які фундаментальні властивості Всесвіту?,uk
[to be inserted],Що таке управління повітряним рухом?,uk
[to be inserted],Які існують типи мікроскопів?,uk
[to be inserted],Столицею якої провінції Китаю є Шанхай?,uk
[to be inserted],"Будь ласка, поясніть, що означає вуглецева нейтральність.",uk
[to be inserted],"Скільки часу потрібно Землі, щоб зробити один оберт навколо своєї осі?",uk
[to be inserted],Скільки золотих медалей виборов Китай на Зимових Олімпійських іграх 2022 року?,uk
[to be inserted],Який принцип роботи поїзда на магнітній підвісці (маглев)?,uk
[to be inserted],Яка роль селену в ферментативній каталітичній активності?,uk
[to be inserted],Яка адреса Пекінського університету?,uk
[to be inserted],Коли було засновано Пекінський університет?,uk
[to be inserted],Які відомі будівлі звели єгипетські фараони?,uk
[to be inserted],У якій країні розташованій Дрезден?,uk
[to be inserted],Яка найвища будівля у світі?,uk
[to be inserted],Де в Китаї розташоване найбільше солоне озеро?,uk
[to be inserted],Чи брали участь китайські інженери в розробці Bitcoin?,uk
[to be inserted],Як народилася Афіна в давньогрецькій міфології?,uk
[to be inserted],Де розташовані основні ареали проживання японського журавля?,uk
[to be inserted],Де розташований Собор Паризької Богоматері?,uk
[to be inserted],Скільки часу тривало будівництво Собору Паризької Богоматері?,uk
[to be inserted],"Я чув, що вживання великої кількості води не обов'язково робить шкіру менш сухою. Це правда?",uk
[to be inserted],Що таке «заземлення» в електротехніці?,uk
[to be inserted],Який один із способів захисту обладнання в енергосистемах від складних електромагнітних перешкод?,uk
[to be inserted],Якою була політична система Стародавнього Риму?,uk
[to be inserted],Хто обіймав посаду найвищого управителя в республіканський період у Стародавньому Римі?,uk
[to be inserted],Що таке хвороба Крона? Які її симптоми та як її діагностують?,uk
[to be inserted],Чи може хвороба Крона легко призвести до анемії?,uk
[to be inserted],Які основні релігії в Китаї?,uk
[to be inserted],Поясніть концепції та відмінності між природною та примусовою конвекцією.,uk
[to be inserted],Яке визначення надпровідного матеріалу?,uk
[to be inserted],"Яка імператриця в історії Китаю була єдиною жінкою, яка здійслювала ритуали на горі Тайшань?",uk
[to be inserted],Що означає кубічний метр?,uk
[to be inserted],Яке співвідношення між кубічними метрами та кубічними сантиметрами?,uk
[to be inserted],Приблизно скільки важить один кубічний метр води?,uk
[to be inserted],Яка столиця Норвегії?,uk
[to be inserted],Чому не можна використовувати металевий посуд у мікрохвильовій печі?,uk
[to be inserted],"Що було попередником Google Maps? Як він називався до того, як Google придбав його?",uk
[to be inserted],"Чи знаєте ви, яка маса Плутона?",uk
[to be inserted],Що таке мережевий протокол (IP)?,uk
[to be inserted],Чи є в тварин емпатія?,uk
[to be inserted],Скільки разів на рік вручається Нобелівська премія?,uk
[to be inserted],"Чи є приклад того, що кілька людей ділили одну нагороду під час щорічного вручення Нобелівської премії?",uk
[to be inserted],Коли розпочалася та закінчилася вісімнадцята династія Стародавнього Єгипту?,uk
[to be inserted],Хто був першим імператором Стародавньої Римської імперії?,uk
[to be inserted],"Вибачте, що таке стала Планка?",uk
[to be inserted],У якому столітті почали використовувати геоцентричну систему?,uk
[to be inserted],Чи підтримував Ньютон раніше принципи геоцентричної системи?,uk
[to be inserted],Відповідна дата за місячним календарем для 1 жовтня 2023 року за григоріанським календарем — це,uk
[to be inserted],Який знак зодіаку для 1 жовтня 2023 року за григоріанським календарем?,uk
[to be inserted],Де проходять найбільш гучні святкування 1 жовтня 2023 року за григоріанським календарем?,uk
[to be inserted],Чи знаєте ви відомі пам'ятки Парижа?,uk
[to be inserted],Коли був побудований Лувр?,uk
[to be inserted],Чи є Мумбаї столицею Індії?,uk
[to be inserted],У якому штаті Індії розташоване Варанасі?,uk
[to be inserted],Що таке пружне зіткнення?,uk
[to be inserted],Скільки муніципальних округів у Парижі?,uk
[to be inserted],"Крім морепродуктів та субпродуктів, які ще продукти пов'язані з подагрою?",uk
[to be inserted],Що таке квантова механіка?,uk
[to be inserted],Що таке квантовий комп'ютер?,uk
[to be inserted],Представте основні концепції ChatGPT.,uk
[to be inserted],З яких елементів складається вода?,uk
[to be inserted],Якій країні належить озеро Байкал?,uk
[to be inserted],Які найпоширеніші елементи в природі?,uk
[to be inserted],Які основні моря в Європі?,uk
[to be inserted],До якої галузі знань належить теорія відносності?,uk
[to be inserted],"Вітамін E є потужним антиоксидантом, але чому він менш ефективний, ніж селен, у захисті клітин від пошкоджень оксидативним стресом?",uk
[to be inserted],Що таке парадокс Фермі?,uk
[to be inserted],"Згідно з теорією відносності, яке співвідношення між масою та енергією?",uk
[to be inserted],"Вітаю, чи можете ви пояснити кут нахилу осі обертання Землі?",uk
[to be inserted],Як потепління клімату вплине на сільське господарство?,uk
[to be inserted],"Будь ласка, поясніть поняття чорної діри.",uk
[to be inserted],Що таке квантова заплутаність?,uk
[to be inserted],Що таке теорія відносності?,uk
[to be inserted],Що таке технологія блокчейн?,uk
[to be inserted],Що таке квантова механіка?,uk
[to be inserted],Хто відкрив кисень?,uk
[to be inserted],Хто запропонував закон всесвітнього тяжіння?,uk
[to be inserted],Як народився Всесвіт?,uk
[to be inserted],Які три закони Ньютона?,uk
[to be inserted],Що таке зміна клімату?,uk
