audio_file,question,language
[to be inserted],איזה סוג של פרס הוא פרס סיבוב הופעות?,he
[to be inserted],מהן ארבע ההמצאות הגדולות של סין העתיקה?,he
[to be inserted],"מי כתב את ""רומן שלוש הממלכות""?",he
[to be inserted],האם אתונה היא ציוויליזציה עתיקה?,he
[to be inserted],האם הוא מולאן היא דמות אמיתית בהיסטוריה הסינית?,he
[to be inserted],מהו הרקע להקמת הצלב האדום הבינלאומי?,he
[to be inserted],באיזו שנה הוקמה שושלת מינג?,he
[to be inserted],מהו ההר הגבוה ביותר בעולם?,he
[to be inserted],של איזה מדינה פריז היא עיר הבירה?,he
[to be inserted],כמה קבוצות אתניות יש בסין?,he
[to be inserted],מי היה הנשיא הראשון של ארצות הברית?,he
[to be inserted],מהי נקודת הרתיחה של מים?,he
[to be inserted],מהי עיר הבירה של איטליה?,he
[to be inserted],האם כל הנוסעים בטיטניק מתו?,he
[to be inserted],מה היה הלוויין המלאכותי הראשון ששוגר לחלל?,he
[to be inserted],כמה מדינות חברות יש כיום באיחוד האירופי?,he
[to be inserted],מהי עיר הבירה של הודו?,he
[to be inserted],מהו המיקום הגיאוגרפי של שנגחאי?,he
[to be inserted],איזו היא המדינה הקטנה ביותר בעולם? מהו שטחה?,he
[to be inserted],מדוע תעלת פנמה חשובה ואיזו השפעה הייתה לסגירתה על המסחר העולמי?,he
[to be inserted],מהן שלוש המחוזות הגדולים ביותר בסין?,he
[to be inserted],איזו עיר היא עיר הבירה של איראן?,he
[to be inserted],מהם כוכבי הלכת במערכת השמש?,he
[to be inserted],מי היה הקיסר הראשון של רומא העתיקה?,he
[to be inserted],מתי היה תאריך הקמתה של הרפובליקה העממית של סין?,he
[to be inserted],מתי התפרקה ברית המועצות?,he
[to be inserted],מה היה התאריך המדויק של פלישת בעלות הברית לנורמנדי במהלך מלחמת העולם השנייה?,he
[to be inserted],מהו אורך החומה הגדולה של סין?,he
[to be inserted],מה היו האירועים המהפכניים העיקריים באירופה בשנת 1848?,he
[to be inserted],באיזו שושלת נפתח לראשונה דרך המשי?,he
[to be inserted],מה גורם לצינית (גאוט)?,he
[to be inserted],"מהו הפרק הארוך ביותר בתנ""ך?",he
[to be inserted],מהי חיית המחמד של בובספוג?,he
[to be inserted],כמה קיסרים היו בשושלת מינג?,he
[to be inserted],כיצד נוצרים חורים שחורים?,he
[to be inserted],מהי השפה הרשמית של צרפת?,he
[to be inserted],מהי הדת העיקרית בצרפת?,he
[to be inserted],תוכל לספק רקע היסטורי על האלפים?,he
[to be inserted],אנא תאר בפירוט את הסביבה האקולוגית של האלפים.,he
[to be inserted],ציין את חמש המדינות העיקריות באלפים.,he
[to be inserted],מי היה הנשיא ה-39 של ארצות הברית?,he
[to be inserted],איזה אזור זמן קיים בניו יורק?,he
[to be inserted],מהו הפרש השעות בין אזור הזמן של ניו יורק לזה של סין?,he
[to be inserted],האם בניו יורק מנהיגים שעון קיץ? מהו הפרש השעות מול סין בזמן שעון הקיץ?,he
[to be inserted],מאילו חלקים מורכבים תאי אדם?,he
[to be inserted],באיזו תקופה בסין הוקמה שושלת האן המערבית?,he
[to be inserted],מה היה שם הקוד לפלישה לנורמנדי?,he
[to be inserted],מתי נבנה מוזיאון הלובר?,he
[to be inserted],לאיזו שושלת השתייכה הקיסרית וו דז'טיאן בהיסטוריה הסינית?,he
[to be inserted],מהו האיבר הגדול ביותר בגוף האדם?,he
[to be inserted],מהו המרחק הממוצע בין כדור הארץ לירח?,he
[to be inserted],האם ליבת כדור הארץ מורכבת כולה מברזל?,he
[to be inserted],איזו דת היא יש לה כיום את מספר המאמינים הגדול ביותר בעולם?,he
[to be inserted],מהו מחשב קוונטי?,he
[to be inserted],"לפי החלוקה המנהלית, כמה ערים במעמד מחוז יש בסין?",he
[to be inserted],מאיפה מגיעים שקדים מתוקים ושקדים מרים?,he
[to be inserted],באיזה סדר מסודרים היסודות שטבלת המחזורית של היסודות הכימיים?,he
[to be inserted],באיזה חלק של הצמח מתרחשת הפוטוסינתזה?,he
[to be inserted],מתי אירעה רעידת האדמה בוונצ'ואן בשנת 2008?,he
[to be inserted],מהו ההר הגבוה ביותר בעולם?,he
[to be inserted],מהי עיר הבירה של סינגפור?,he
[to be inserted],מהו ההבדל בין סול לבין תחליב (לוטיון)?,he
[to be inserted],כמה שערים יש לעיר האסורה? מהם שמותיהם? מהם המבנים המרכזיים בציר המרכזי של העיר האסורה?,he
[to be inserted],"מבין ארבע ההמצאות הגדולות, איזו הייתה המוקדמת ביותר?",he
[to be inserted],האם העיר אנקאנג היא בירת מחוז שאאנשי?,he
[to be inserted],באיזו שושלת הפך הכתב המשרדי (Lishu) לגופן רשמי? מאיזה גופן הוא התפתח?,he
[to be inserted],מתי חל יום השנה למותו של מאו דזה-דונג?,he
[to be inserted],מהי העצם הארוכה ביותר באנטומיה של האדם?,he
[to be inserted],באיזו שנה נבנה גשר טאואר?,he
[to be inserted],מהם השלבים של לחיצת היד המשולשת ב-TCP?,he
[to be inserted],איזה אישור טיפוס אוכל לקבל כדי לטפס על הר אוורסט?,he
[to be inserted],מתי היה התאריך המדויק של מלחמת האופיום השנייה?,he
[to be inserted],מאיפה הגיעה שיטת ספירת הזמן של 12 שעות?,he
[to be inserted],כמה מספרים ריבועיים משוכללים יש בין 5 ל-7?,he
[to be inserted],מהו התפקיד של בלוטות הזיעה ביונקים?,he
[to be inserted],מהי פסגת ההר הגבוהה ביותר בעולם?,he
[to be inserted],מהן ארבע הציוויליזציות העתיקות?,he
[to be inserted],תוכל לספר לי על תפקוד בלוטת התריס?,he
[to be inserted],היכן ממוקמים המטה של חברת אפל?,he
[to be inserted],מהו כוכב הלכת השלישי במערכת השמש?,he
[to be inserted],מה מגילת הזכויות (Bill of Rights)?,he
[to be inserted],תוכל להסביר מהי שזירה קוונטית?,he
[to be inserted],מהי עיר הבירה של האיים המלדיביים?,he
[to be inserted],באיזה מטבע משתמשים באיים המלדיביים?,he
[to be inserted],מהם אטרקציות התיירות העיקריות באיים המלדיביים?,he
[to be inserted],מהו פרוטוקול מונטריאול?,he
[to be inserted],מהם התכנים העיקריים של מגילת האומות המאוחדות?,he
[to be inserted],מתי הוקם הצלב האדום הבינלאומי?,he
[to be inserted],האם פרס טיורינג הציג את המושג אינטליגנציה מלאכותית?,he
[to be inserted],מהן התכונות הבסיסיות של היקום?,he
[to be inserted],מהי בקרת תנועה אווירית?,he
[to be inserted],מהם סוגי המיקרוסקופים?,he
[to be inserted],שנגחאי היא בירתו של איזה מחוז בסין?,he
[to be inserted],אנא הסבר מה פירוש ניטרליות פחמנית.,he
[to be inserted],כמה זמן לוקח לכדור הארץ להשלים סיבוב אחד סביב ציר?,he
[to be inserted],כמה מדליות זהב תרוויח סין באולימפיאדת החורף 2022?,he
[to be inserted],מהו העיקרון של רכבת המרחפת המגנטית (Maglev)?,he
